model,random_state,date,n_epoch,lr,crit,optim,epoch,loss,f1_macro,pred_0_0,pred_0_1,precision_0,recall_0,f1_0,pred_1_0,pred_1_1,precision_1,recall_1,f1_1
MLPNet5_4,0,2019-05-17 07:05,6,0.01,cross_entropy,adam,1,0.4362,0.7921,17806,3453,0.8376,0.7269,0.7783,6689,21042,0.7588,0.859,0.8058
MLPNet5_4,0,2019-05-17 07:12,6,0.0095,cross_entropy,adam,2,0.4336,0.7915,17885,3563,0.8339,0.7301,0.7786,6610,20932,0.76,0.8545,0.8045
MLPNet5_4,0,2019-05-17 07:18,6,0.009025,cross_entropy,adam,3,0.4351,0.789,18040,3851,0.8241,0.7365,0.7778,6455,20644,0.7618,0.8428,0.8002
MLPNet5_4,0,2019-05-17 07:25,6,0.00857375,cross_entropy,adam,4,0.4331,0.7931,18047,3655,0.8316,0.7368,0.7813,6448,20840,0.7637,0.8508,0.8049
MLPNet5_4,0,2019-05-17 07:31,6,0.0081450625,cross_entropy,adam,5,0.4316,0.7929,18029,3645,0.8318,0.736,0.781,6466,20850,0.7633,0.8512,0.8048
MLPNet5_4,0,2019-05-17 07:38,6,0.007737809374999999,cross_entropy,adam,6,0.4304,0.7941,18188,3754,0.8289,0.7425,0.7833,6307,20741,0.7668,0.8467,0.8048
