model,random_state,date,n_epoch,lr,crit,optim,epoch,loss,f1_macro,pred_0_0,pred_0_1,precision_0,recall_0,f1_0,pred_1_0,pred_1_1,precision_1,recall_1,f1_1
MLPNet10Drop_0.2_2,0,2019-05-17 05:27,6,0.01,cross_entropy,adam,1,0.6937,0.5003,12343,12327,0.5003,0.5039,0.5021,12152,12168,0.5003,0.4968,0.4985
MLPNet10Drop_0.2_2,0,2019-05-17 05:38,6,0.0095,cross_entropy,adam,2,0.694,0.4996,12796,12804,0.4998,0.5224,0.5109,11699,11691,0.4998,0.4773,0.4883
MLPNet10Drop_0.2_2,0,2019-05-17 05:49,6,0.009025,cross_entropy,adam,3,0.6941,0.5015,12842,12758,0.5016,0.5243,0.5127,11653,11737,0.5018,0.4792,0.4902
MLPNet10Drop_0.2_2,0,2019-05-17 06:00,6,0.00857375,cross_entropy,adam,4,0.6938,0.5021,12468,12364,0.5021,0.509,0.5055,12027,12131,0.5022,0.4952,0.4987
MLPNet10Drop_0.2_2,0,2019-05-17 06:10,6,0.0081450625,cross_entropy,adam,5,0.6938,0.4995,13239,13223,0.5003,0.5405,0.5196,11256,11272,0.5004,0.4602,0.4794
MLPNet10Drop_0.2_2,0,2019-05-17 06:19,6,0.007737809374999999,cross_entropy,adam,6,0.6942,0.4986,12558,12624,0.4987,0.5127,0.5056,11937,11871,0.4986,0.4846,0.4915
