model,random_state,date,n_epoch,lr,crit,optim,epoch,loss,f1_macro,pred_0_0,pred_0_1,precision_0,recall_0,f1_0,pred_1_0,pred_1_1,precision_1,recall_1,f1_1
MLPNet10_2,0,2019-05-17 05:09,6,0.01,cross_entropy,adam,1,0.6936,0.5007,12050,12014,0.5007,0.4919,0.4963,12445,12481,0.5007,0.5095,0.5051
MLPNet10_2,0,2019-05-17 05:19,6,0.0095,cross_entropy,adam,2,0.6942,0.5015,12843,12757,0.5017,0.5243,0.5127,11652,11738,0.5018,0.4792,0.4903
MLPNet10_2,0,2019-05-17 05:29,6,0.009025,cross_entropy,adam,3,0.694,0.4992,11186,11180,0.5001,0.4567,0.4774,13309,13315,0.5001,0.5436,0.5209
MLPNet10_2,0,2019-05-17 05:40,6,0.00857375,cross_entropy,adam,4,0.6937,0.4981,13692,13700,0.4999,0.559,0.5278,10803,10795,0.4998,0.4407,0.4684
MLPNet10_2,0,2019-05-17 05:50,6,0.0081450625,cross_entropy,adam,5,0.6943,0.5017,11995,11907,0.5018,0.4897,0.4957,12500,12588,0.5018,0.5139,0.5078
MLPNet10_2,0,2019-05-17 06:01,6,0.007737809374999999,cross_entropy,adam,6,0.6942,0.4981,13557,13579,0.4996,0.5535,0.5251,10938,10916,0.4995,0.4456,0.471
