model,random_state,date,n_epoch,lr,crit,optim,epoch,loss,f1_macro,pred_0_0,pred_0_1,precision_0,recall_0,f1_0,pred_1_0,pred_1_1,precision_1,recall_1,f1_1
MLPNet4_4,0,2019-05-17 07:10,6,0.01,cross_entropy,adam,1,0.4366,0.7846,17117,3095,0.8469,0.6988,0.7657,7378,21400,0.7436,0.8736,0.8034
MLPNet4_4,0,2019-05-17 07:17,6,0.0095,cross_entropy,adam,2,0.4361,0.7871,17051,2895,0.8549,0.6961,0.7674,7444,21600,0.7437,0.8818,0.8069
MLPNet4_4,0,2019-05-17 07:24,6,0.009025,cross_entropy,adam,3,0.435,0.7859,17121,3030,0.8496,0.699,0.767,7374,21465,0.7443,0.8763,0.8049
MLPNet4_4,0,2019-05-17 07:30,6,0.00857375,cross_entropy,adam,4,0.4313,0.7881,17154,2959,0.8529,0.7003,0.7691,7341,21536,0.7458,0.8792,0.807
MLPNet4_4,0,2019-05-17 07:37,6,0.0081450625,cross_entropy,adam,5,0.43,0.7883,17246,3048,0.8498,0.7041,0.7701,7249,21447,0.7474,0.8756,0.8064
MLPNet4_4,0,2019-05-17 07:44,6,0.007737809374999999,cross_entropy,adam,6,0.4331,0.7897,17270,3001,0.852,0.705,0.7716,7225,21494,0.7484,0.8775,0.8078
