model,random_state,date,n_epoch,lr,crit,optim,epoch,loss,f1_macro,pred_0_0,pred_0_1,precision_0,recall_0,f1_0,pred_1_0,pred_1_1,precision_1,recall_1,f1_1
MLPNet5Drop_0.2_5,0,2019-05-17 07:59,6,0.01,cross_entropy,adam,1,0.5356,0.7335,14991,3345,0.8176,0.612,0.7,9505,21151,0.6899,0.8634,0.767
MLPNet5Drop_0.2_5,0,2019-05-17 08:05,6,0.0095,cross_entropy,adam,2,0.5307,0.7333,15293,3699,0.8052,0.6243,0.7033,9203,20797,0.6932,0.849,0.7632
MLPNet5Drop_0.2_5,0,2019-05-17 08:12,6,0.009025,cross_entropy,adam,3,0.524,0.7429,15733,3696,0.8098,0.6423,0.7164,8763,20800,0.7036,0.8491,0.7695
MLPNet5Drop_0.2_5,0,2019-05-17 08:19,6,0.00857375,cross_entropy,adam,4,0.5257,0.7417,15459,3452,0.8175,0.6311,0.7123,9037,21044,0.6996,0.8591,0.7712
MLPNet5Drop_0.2_5,0,2019-05-17 08:25,6,0.0081450625,cross_entropy,adam,5,0.5368,0.7329,14630,2958,0.8318,0.5972,0.6953,9866,21538,0.6858,0.8792,0.7706
MLPNet5Drop_0.2_5,0,2019-05-17 08:29,6,0.007737809374999999,cross_entropy,adam,6,0.5268,0.737,15216,3419,0.8165,0.6212,0.7056,9280,21077,0.6943,0.8604,0.7685
