model,random_state,date,n_epoch,lr,crit,optim,epoch,loss,f1_macro,pred_0_0,pred_0_1,precision_0,recall_0,f1_0,pred_1_0,pred_1_1,precision_1,recall_1,f1_1
MLPNet4_3,0,2019-05-17 06:22,6,0.01,cross_entropy,adam,1,0.4362,0.7889,17292,3063,0.8495,0.7059,0.7711,7203,21432,0.7485,0.875,0.8068
MLPNet4_3,0,2019-05-17 06:32,6,0.0095,cross_entropy,adam,2,0.4362,0.7896,17197,2927,0.8546,0.7021,0.7708,7298,21568,0.7472,0.8805,0.8084
MLPNet4_3,0,2019-05-17 06:39,6,0.009025,cross_entropy,adam,3,0.4364,0.791,17191,2850,0.8578,0.7018,0.772,7304,21645,0.7477,0.8836,0.81
MLPNet4_3,0,2019-05-17 06:46,6,0.00857375,cross_entropy,adam,4,0.4307,0.7934,17397,2953,0.8549,0.7102,0.7759,7098,21542,0.7522,0.8794,0.8108
MLPNet4_3,0,2019-05-17 06:52,6,0.0081450625,cross_entropy,adam,5,0.4291,0.7933,17470,3036,0.8519,0.7132,0.7764,7025,21459,0.7534,0.8761,0.8101
MLPNet4_3,0,2019-05-17 06:59,6,0.007737809374999999,cross_entropy,adam,6,0.4351,0.7921,17445,3069,0.8504,0.7122,0.7752,7050,21426,0.7524,0.8747,0.809
