model,random_state,date,n_epoch,lr,crit,optim,epoch,loss,f1_macro,pred_0_0,pred_0_1,precision_0,recall_0,f1_0,pred_1_0,pred_1_1,precision_1,recall_1,f1_1
MLPNet10Drop_0.2_1,0,2019-05-16 23:52,30,0.05,cross_entropy,adam,1,0.6971,0.5011,11753,11687,0.5014,0.4798,0.4904,12742,12808,0.5013,0.5229,0.5119
MLPNet10Drop_0.2_1,0,2019-05-17 00:03,30,0.0475,cross_entropy,adam,2,0.6938,0.4959,13824,13918,0.4983,0.5644,0.5293,10671,10577,0.4978,0.4318,0.4625
MLPNet10Drop_0.2_1,0,2019-05-17 00:14,30,0.045125,cross_entropy,adam,3,0.694,0.5002,12468,12458,0.5002,0.509,0.5046,12027,12037,0.5002,0.4914,0.4958
MLPNet10Drop_0.2_1,0,2019-05-17 00:25,30,0.04286875,cross_entropy,adam,4,0.6939,0.5022,13541,13373,0.5031,0.5528,0.5268,10954,11122,0.5038,0.4541,0.4776
MLPNet10Drop_0.2_1,0,2019-05-17 00:36,30,0.04072531249999999,cross_entropy,adam,5,0.6938,0.5018,13648,13488,0.5029,0.5572,0.5287,10847,11007,0.5037,0.4494,0.475
MLPNet10Drop_0.2_1,0,2019-05-17 00:47,30,0.038689046874999994,cross_entropy,adam,6,0.6937,0.5034,12677,12505,0.5034,0.5175,0.5104,11818,11990,0.5036,0.4895,0.4964
MLPNet10Drop_0.2_1,0,2019-05-17 00:58,30,0.03675459453124999,cross_entropy,adam,7,0.694,0.5019,11874,11772,0.5022,0.4848,0.4933,12621,12723,0.502,0.5194,0.5106
MLPNet10Drop_0.2_1,0,2019-05-17 01:09,30,0.03491686480468749,cross_entropy,adam,8,0.6938,0.499,13093,13113,0.4996,0.5345,0.5165,11402,11382,0.4996,0.4647,0.4815
MLPNet10Drop_0.2_1,0,2019-05-17 01:19,30,0.03317102156445311,cross_entropy,adam,9,0.6939,0.4989,11303,11319,0.4996,0.4614,0.4798,13192,13176,0.4997,0.5379,0.5181
MLPNet10Drop_0.2_1,0,2019-05-17 01:30,30,0.03151247048623045,cross_entropy,adam,10,0.694,0.5006,13001,12949,0.501,0.5308,0.5155,11494,11546,0.5011,0.4714,0.4858
MLPNet10Drop_0.2_1,0,2019-05-17 01:41,30,0.02993684696191893,cross_entropy,adam,11,0.6938,0.4987,11298,11324,0.4994,0.4612,0.4796,13197,13171,0.4995,0.5377,0.5179
MLPNet10Drop_0.2_1,0,2019-05-17 01:52,30,0.028440004613822983,cross_entropy,adam,12,0.6938,0.4975,12274,12396,0.4975,0.5011,0.4993,12221,12099,0.4975,0.4939,0.4957
MLPNet10Drop_0.2_1,0,2019-05-17 02:03,30,0.027018004383131834,cross_entropy,adam,13,0.6939,0.4983,11992,12072,0.4983,0.4896,0.4939,12503,12423,0.4984,0.5072,0.5027
MLPNet10Drop_0.2_1,0,2019-05-17 02:14,30,0.02566710416397524,cross_entropy,adam,14,0.6937,0.5019,12125,12033,0.5019,0.495,0.4984,12370,12462,0.5019,0.5088,0.5053
MLPNet10Drop_0.2_1,0,2019-05-17 02:25,30,0.024383748955776476,cross_entropy,adam,15,0.6939,0.5017,11371,11251,0.5027,0.4642,0.4827,13124,13244,0.5023,0.5407,0.5208
MLPNet10Drop_0.2_1,0,2019-05-17 02:36,30,0.023164561507987652,cross_entropy,adam,16,0.6937,0.5017,12765,12673,0.5018,0.5211,0.5113,11730,11822,0.502,0.4826,0.4921
MLPNet10Drop_0.2_1,0,2019-05-17 02:47,30,0.02200633343258827,cross_entropy,adam,17,0.6939,0.4981,13556,13580,0.4996,0.5534,0.5251,10939,10915,0.4995,0.4456,0.471
MLPNet10Drop_0.2_1,0,2019-05-17 02:58,30,0.020906016760958854,cross_entropy,adam,18,0.6939,0.5046,12192,11966,0.5047,0.4977,0.5012,12303,12529,0.5046,0.5115,0.508
MLPNet10Drop_0.2_1,0,2019-05-17 03:08,30,0.019860715922910912,cross_entropy,adam,19,0.6936,0.4985,13299,13325,0.4995,0.5429,0.5203,11196,11170,0.4994,0.456,0.4767
MLPNet10Drop_0.2_1,0,2019-05-17 03:19,30,0.018867680126765367,cross_entropy,adam,20,0.6939,0.5027,12098,11966,0.5027,0.4939,0.4983,12397,12529,0.5026,0.5115,0.507
MLPNet10Drop_0.2_1,0,2019-05-17 03:30,30,0.017924296120427098,cross_entropy,adam,21,0.6938,0.4971,12263,12407,0.4971,0.5006,0.4989,12232,12088,0.497,0.4935,0.4953
MLPNet10Drop_0.2_1,0,2019-05-17 03:41,30,0.01702808131440574,cross_entropy,adam,22,0.6938,0.4919,14419,14603,0.4968,0.5887,0.5389,10076,9892,0.4954,0.4038,0.445
MLPNet10Drop_0.2_1,0,2019-05-17 03:52,30,0.016176677248685455,cross_entropy,adam,23,0.6938,0.5024,11713,11583,0.5028,0.4782,0.4902,12782,12912,0.5025,0.5271,0.5145
MLPNet10Drop_0.2_1,0,2019-05-17 04:03,30,0.015367843386251181,cross_entropy,adam,24,0.6942,0.4951,12818,13038,0.4957,0.5233,0.5091,11677,11457,0.4952,0.4677,0.4811
MLPNet10Drop_0.2_1,0,2019-05-17 04:14,30,0.014599451216938621,cross_entropy,adam,25,0.694,0.4984,12295,12375,0.4984,0.5019,0.5002,12200,12120,0.4984,0.4948,0.4966
MLPNet10Drop_0.2_1,0,2019-05-17 04:25,30,0.013869478656091689,cross_entropy,adam,26,0.6938,0.5003,12683,12661,0.5004,0.5178,0.509,11812,11834,0.5005,0.4831,0.4916
MLPNet10Drop_0.2_1,0,2019-05-17 04:35,30,0.013176004723287104,cross_entropy,adam,27,0.6938,0.502,12595,12493,0.502,0.5142,0.508,11900,12002,0.5021,0.49,0.496
MLPNet10Drop_0.2_1,0,2019-05-17 04:46,30,0.012517204487122747,cross_entropy,adam,28,0.6938,0.4973,10493,10499,0.4999,0.4284,0.4614,14002,13996,0.4999,0.5714,0.5333
MLPNet10Drop_0.2_1,0,2019-05-17 04:57,30,0.011891344262766609,cross_entropy,adam,29,0.6939,0.5039,12176,11982,0.504,0.4971,0.5005,12319,12513,0.5039,0.5108,0.5073
MLPNet10Drop_0.2_1,0,2019-05-17 05:08,30,0.011296777049628278,cross_entropy,adam,30,0.6939,0.5004,11093,11017,0.5017,0.4529,0.476,13402,13478,0.5014,0.5502,0.5247
