model,random_state,date,n_epoch,lr,crit,optim,epoch,loss,f1_macro,pred_0_0,pred_0_1,precision_0,recall_0,f1_0,pred_1_0,pred_1_1,precision_1,recall_1,f1_1
MLPNet4Drop_0.2_1,0,2019-05-16 23:50,30,0.05,cross_entropy,adam,1,0.5527,0.7158,16213,5600,0.7433,0.6619,0.7002,8282,18895,0.6953,0.7714,0.7313
MLPNet4Drop_0.2_1,0,2019-05-17 00:01,30,0.0475,cross_entropy,adam,2,0.5084,0.7508,15834,3408,0.8229,0.6464,0.7241,8661,21087,0.7089,0.8609,0.7775
MLPNet4Drop_0.2_1,0,2019-05-17 00:12,30,0.045125,cross_entropy,adam,3,0.5016,0.7546,15899,3284,0.8288,0.6491,0.728,8596,21211,0.7116,0.8659,0.7812
MLPNet4Drop_0.2_1,0,2019-05-17 00:22,30,0.04286875,cross_entropy,adam,4,0.4963,0.7546,16451,3893,0.8086,0.6716,0.7338,8044,20602,0.7192,0.8411,0.7754
MLPNet4Drop_0.2_1,0,2019-05-17 00:33,30,0.04072531249999999,cross_entropy,adam,5,0.499,0.751,16050,3638,0.8152,0.6552,0.7265,8445,20857,0.7118,0.8515,0.7754
MLPNet4Drop_0.2_1,0,2019-05-17 00:44,30,0.038689046874999994,cross_entropy,adam,6,0.4993,0.7543,15698,3078,0.8361,0.6409,0.7256,8797,21417,0.7088,0.8743,0.7829
MLPNet4Drop_0.2_1,0,2019-05-17 00:55,30,0.03675459453124999,cross_entropy,adam,7,0.4955,0.7566,15910,3196,0.8327,0.6495,0.7298,8585,21299,0.7127,0.8695,0.7834
MLPNet4Drop_0.2_1,0,2019-05-17 01:05,30,0.03491686480468749,cross_entropy,adam,8,0.4929,0.7575,15994,3244,0.8314,0.6529,0.7314,8501,21251,0.7143,0.8676,0.7835
MLPNet4Drop_0.2_1,0,2019-05-17 01:16,30,0.03317102156445311,cross_entropy,adam,9,0.4905,0.761,16256,3353,0.829,0.6636,0.7372,8239,21142,0.7196,0.8631,0.7848
MLPNet4Drop_0.2_1,0,2019-05-17 01:26,30,0.03151247048623045,cross_entropy,adam,10,0.4958,0.7543,15593,2959,0.8405,0.6366,0.7245,8902,21536,0.7075,0.8792,0.7841
MLPNet4Drop_0.2_1,0,2019-05-17 01:37,30,0.02993684696191893,cross_entropy,adam,11,0.4976,0.7544,15766,3148,0.8336,0.6436,0.7264,8729,21347,0.7098,0.8715,0.7824
MLPNet4Drop_0.2_1,0,2019-05-17 01:48,30,0.028440004613822983,cross_entropy,adam,12,0.4992,0.7527,15815,3289,0.8278,0.6456,0.7255,8680,21206,0.7096,0.8657,0.7799
MLPNet4Drop_0.2_1,0,2019-05-17 01:58,30,0.027018004383131834,cross_entropy,adam,13,0.5012,0.7534,16041,3504,0.8207,0.6549,0.7285,8454,20991,0.7129,0.857,0.7783
MLPNet4Drop_0.2_1,0,2019-05-17 02:09,30,0.02566710416397524,cross_entropy,adam,14,0.4941,0.7588,16120,3315,0.8294,0.6581,0.7339,8375,21180,0.7166,0.8647,0.7837
MLPNet4Drop_0.2_1,0,2019-05-17 02:20,30,0.024383748955776476,cross_entropy,adam,15,0.4928,0.7618,16093,3133,0.837,0.657,0.7362,8402,21362,0.7177,0.8721,0.7874
