model,random_state,date,n_epoch,lr,crit,optim,epoch,loss,f1_macro,pred_0_0,pred_0_1,precision_0,recall_0,f1_0,pred_1_0,pred_1_1,precision_1,recall_1,f1_1
MLPNet4Drop_0.2_3,0,2019-05-17 06:28,6,0.01,cross_entropy,adam,1,0.5072,0.7547,15772,3137,0.8341,0.6439,0.7268,8723,21358,0.71,0.8719,0.7827
MLPNet4Drop_0.2_3,0,2019-05-17 06:36,6,0.0095,cross_entropy,adam,2,0.5082,0.7535,15769,3197,0.8314,0.6438,0.7257,8726,21298,0.7094,0.8695,0.7813
MLPNet4Drop_0.2_3,0,2019-05-17 06:43,6,0.009025,cross_entropy,adam,3,0.5093,0.755,16417,3834,0.8107,0.6702,0.7338,8078,20661,0.7189,0.8435,0.7762
MLPNet4Drop_0.2_3,0,2019-05-17 06:50,6,0.00857375,cross_entropy,adam,4,0.511,0.7536,15680,3090,0.8354,0.6401,0.7248,8815,21405,0.7083,0.8739,0.7824
MLPNet4Drop_0.2_3,0,2019-05-17 06:56,6,0.0081450625,cross_entropy,adam,5,0.5048,0.7607,16495,3632,0.8195,0.6734,0.7393,8000,20863,0.7228,0.8517,0.782
MLPNet4Drop_0.2_3,0,2019-05-17 07:03,6,0.007737809374999999,cross_entropy,adam,6,0.5076,0.7534,16240,3723,0.8135,0.663,0.7306,8255,20772,0.7156,0.848,0.7762
