model,random_state,date,n_epoch,lr,crit,optim,epoch,loss,f1_macro,pred_0_0,pred_0_1,precision_0,recall_0,f1_0,pred_1_0,pred_1_1,precision_1,recall_1,f1_1
MLPNet3Drop_0.2_,0,2019-05-09 12:56,4,0.0025,cross_entropy,adam,1,0.4657,0.7712,19730,3994,0.8316,0.6846,0.751,9088,24824,0.732,0.8614,0.7915
MLPNet3Drop_0.2_,0,2019-05-09 13:05,4,0.00125,cross_entropy,adam,2,0.466,0.7708,19686,3971,0.8321,0.6831,0.7503,9132,24847,0.7312,0.8622,0.7913
MLPNet3Drop_0.2_,0,2019-05-09 13:13,4,0.00125,cross_entropy,adam,3,0.465,0.7715,19714,3961,0.8327,0.6841,0.7511,9104,24857,0.7319,0.8626,0.7919
MLPNet3Drop_0.2_,0,2019-05-09 13:21,4,0.000625,cross_entropy,adam,4,0.4648,0.7697,19696,4049,0.8295,0.6835,0.7494,9122,24769,0.7308,0.8595,0.79
