model,random_state,date,n_epoch,lr,crit,optim,epoch,loss,f1_macro,pred_0_0,pred_0_1,precision_0,recall_0,f1_0,pred_1_0,pred_1_1,precision_1,recall_1,f1_1
MLPNet5,0,2019-05-09 14:19,4,0.00015625,cross_entropy,adam,1,0.4456,0.7771,22190,6220,0.7811,0.77,0.7755,6629,22599,0.7732,0.7842,0.7786
MLPNet5,0,2019-05-09 14:27,4,7.8125e-05,cross_entropy,adam,2,0.4444,0.7774,22228,6237,0.7809,0.7713,0.7761,6591,22582,0.7741,0.7836,0.7788
MLPNet5,0,2019-05-09 14:35,4,7.8125e-05,cross_entropy,adam,3,0.4445,0.7775,22225,6230,0.7811,0.7712,0.7761,6594,22589,0.774,0.7838,0.7789
MLPNet5,0,2019-05-09 14:40,4,3.90625e-05,cross_entropy,adam,4,0.4442,0.7777,22198,6192,0.7819,0.7703,0.776,6621,22627,0.7736,0.7851,0.7793
