model,random_state,date,n_epoch,lr,crit,optim,epoch,loss,f1_macro,pred_0_0,pred_0_1,precision_0,recall_0,f1_0,pred_1_0,pred_1_1,precision_1,recall_1,f1_1
MLPNet4Drop_0.4_,0,2019-05-09 13:05,4,0.0025,cross_entropy,adam,1,0.5182,0.7365,19842,6178,0.7626,0.6885,0.7237,8976,22640,0.7161,0.7856,0.7492
MLPNet4Drop_0.4_,0,2019-05-09 13:13,4,0.00125,cross_entropy,adam,2,0.5172,0.7362,19698,6043,0.7652,0.6835,0.7221,9120,22775,0.7141,0.7903,0.7503
MLPNet4Drop_0.4_,0,2019-05-09 13:21,4,0.00125,cross_entropy,adam,3,0.5163,0.7357,19813,6190,0.762,0.6875,0.7228,9005,22628,0.7153,0.7852,0.7486
MLPNet4Drop_0.4_,0,2019-05-09 13:30,4,0.000625,cross_entropy,adam,4,0.5156,0.7377,20176,6456,0.7576,0.7001,0.7277,8642,22362,0.7213,0.776,0.7476
