model,random_state,date,n_epoch,lr,crit,optim,epoch,loss,f1_macro,pred_0_0,pred_0_1,precision_0,recall_0,f1_0,pred_1_0,pred_1_1,precision_1,recall_1,f1_1
MLPNet3,0,2019-05-09 13:28,4,0.000625,cross_entropy,adam,1,0.4504,0.773,20754,4982,0.8064,0.7201,0.7608,8065,23837,0.7472,0.8271,0.7851
MLPNet3,0,2019-05-09 13:36,4,0.0003125,cross_entropy,adam,2,0.4489,0.7728,20661,4897,0.8084,0.7169,0.7599,8158,23922,0.7457,0.8301,0.7856
MLPNet3,0,2019-05-09 13:44,4,0.0003125,cross_entropy,adam,3,0.4481,0.7727,20586,4821,0.8102,0.7143,0.7593,8233,23998,0.7446,0.8327,0.7862
MLPNet3,0,2019-05-09 13:52,4,0.00015625,cross_entropy,adam,4,0.4474,0.7728,20587,4817,0.8104,0.7144,0.7593,8232,24002,0.7446,0.8329,0.7863
