model,random_state,date,n_epoch,lr,crit,optim,epoch,loss,f1_macro,pred_0_0,pred_0_1,precision_0,recall_0,f1_0,pred_1_0,pred_1_1,precision_1,recall_1,f1_1
MLPNet5,0,2019-05-07 23:16,100,0.05,cross_entropy,adam,1,0.5205,0.7176,18099,5419,0.7696,0.628,0.6916,10719,23399,0.6858,0.812,0.7436
MLPNet5,0,2019-05-07 23:31,100,0.05,cross_entropy,adam,2,0.4775,0.7549,18928,4096,0.8221,0.6568,0.7302,9890,24722,0.7143,0.8579,0.7795
MLPNet5,0,2019-05-07 23:45,100,0.05,cross_entropy,adam,3,0.4696,0.7598,19500,4427,0.815,0.6767,0.7394,9318,24391,0.7236,0.8464,0.7802
MLPNet5,0,2019-05-08 00:00,100,0.05,cross_entropy,adam,4,0.4689,0.76,19244,4133,0.8232,0.6678,0.7374,9574,24685,0.7205,0.8566,0.7827
MLPNet5,0,2019-05-08 00:15,100,0.05,cross_entropy,adam,5,0.4651,0.764,19958,4669,0.8104,0.6926,0.7469,8860,24149,0.7316,0.838,0.7812
MLPNet5,0,2019-05-08 00:30,100,0.05,cross_entropy,adam,6,0.4646,0.7648,19853,4511,0.8148,0.6889,0.7466,8965,24307,0.7306,0.8435,0.783
MLPNet5,0,2019-05-08 00:45,100,0.05,cross_entropy,adam,7,0.4627,0.7651,20175,4834,0.8067,0.7001,0.7496,8643,23984,0.7351,0.8323,0.7807
MLPNet5,0,2019-05-08 01:00,100,0.05,cross_entropy,adam,8,0.464,0.7671,19684,4189,0.8245,0.683,0.7471,9134,24629,0.7295,0.8546,0.7871
MLPNet5,0,2019-05-08 01:15,100,0.05,cross_entropy,adam,9,0.4617,0.7663,19866,4436,0.8175,0.6894,0.748,8952,24382,0.7314,0.8461,0.7846
MLPNet5,0,2019-05-08 01:30,100,0.025,cross_entropy,adam,10,0.4532,0.7731,20620,4835,0.8101,0.7155,0.7599,8198,23983,0.7453,0.8322,0.7863
MLPNet5,0,2019-05-08 01:45,100,0.025,cross_entropy,adam,11,0.4508,0.7733,20656,4860,0.8095,0.7168,0.7603,8162,23958,0.7459,0.8314,0.7863
MLPNet5,0,2019-05-08 02:00,100,0.025,cross_entropy,adam,12,0.4491,0.776,20687,4737,0.8137,0.7178,0.7628,8131,24081,0.7476,0.8356,0.7892
MLPNet5,0,2019-05-08 02:13,100,0.025,cross_entropy,adam,13,0.4498,0.7769,20834,4838,0.8115,0.723,0.7647,7984,23980,0.7502,0.8321,0.789
MLPNet5,0,2019-05-08 02:22,100,0.025,cross_entropy,adam,14,0.4492,0.7783,20663,4571,0.8189,0.717,0.7646,8155,24247,0.7483,0.8414,0.7921
MLPNet5,0,2019-05-08 02:30,100,0.025,cross_entropy,adam,15,0.4484,0.778,20356,4266,0.8267,0.7064,0.7618,8462,24552,0.7437,0.852,0.7942
MLPNet5,0,2019-05-08 02:38,100,0.025,cross_entropy,adam,16,0.4473,0.7772,20501,4465,0.8212,0.7114,0.7623,8317,24353,0.7454,0.8451,0.7921
MLPNet5,0,2019-05-08 02:46,100,0.025,cross_entropy,adam,17,0.4479,0.7765,20709,4727,0.8142,0.7186,0.7634,8109,24091,0.7482,0.836,0.7896
MLPNet5,0,2019-05-08 02:55,100,0.025,cross_entropy,adam,18,0.4479,0.7762,20781,4823,0.8116,0.7211,0.7637,8037,23995,0.7491,0.8326,0.7887
MLPNet5,0,2019-05-08 03:03,100,0.025,cross_entropy,adam,19,0.4474,0.7755,20495,4561,0.818,0.7112,0.7608,8323,24257,0.7445,0.8417,0.7902
MLPNet5,0,2019-05-08 03:11,100,0.0125,cross_entropy,adam,20,0.4416,0.7795,20827,4675,0.8167,0.7227,0.7668,7991,24143,0.7513,0.8378,0.7922
