model,random_state,date,n_epoch,lr,crit,optim,epoch,loss,f1_macro,pred_0_0,pred_0_1,precision_0,recall_0,f1_0,pred_1_0,pred_1_1,precision_1,recall_1,f1_1
MLPNet4,0,2019-05-07 22:40,100,0.05,cross_entropy,adam,1,0.5189,0.7236,18777,5806,0.7638,0.6516,0.7032,10041,23012,0.6962,0.7985,0.7439
MLPNet4,0,2019-05-07 22:52,100,0.05,cross_entropy,adam,2,0.4747,0.7555,19008,4146,0.8209,0.6596,0.7315,9810,24672,0.7155,0.8561,0.7795
MLPNet4,0,2019-05-07 23:07,100,0.05,cross_entropy,adam,3,0.469,0.7599,19145,4030,0.8261,0.6643,0.7364,9673,24788,0.7193,0.8602,0.7835
MLPNet4,0,2019-05-07 23:22,100,0.05,cross_entropy,adam,4,0.4645,0.7636,19329,4015,0.828,0.6707,0.7411,9489,24803,0.7233,0.8607,0.786
MLPNet4,0,2019-05-07 23:37,100,0.05,cross_entropy,adam,5,0.4601,0.7659,19611,4181,0.8243,0.6805,0.7455,9207,24637,0.728,0.8549,0.7863
MLPNet4,0,2019-05-07 23:52,100,0.05,cross_entropy,adam,6,0.4605,0.7656,19648,4242,0.8224,0.6818,0.7455,9170,24576,0.7283,0.8528,0.7856
MLPNet4,0,2019-05-08 00:07,100,0.05,cross_entropy,adam,7,0.4576,0.7681,19952,4418,0.8187,0.6923,0.7502,8866,24400,0.7335,0.8467,0.786
MLPNet4,0,2019-05-08 00:22,100,0.05,cross_entropy,adam,8,0.457,0.7689,19921,4337,0.8212,0.6913,0.7507,8897,24481,0.7334,0.8495,0.7872
MLPNet4,0,2019-05-08 00:37,100,0.05,cross_entropy,adam,9,0.4561,0.7721,20359,4616,0.8152,0.7065,0.7569,8459,24202,0.741,0.8398,0.7873
MLPNet4,0,2019-05-08 00:52,100,0.025,cross_entropy,adam,10,0.4518,0.7735,20528,4714,0.8132,0.7123,0.7595,8290,24104,0.7441,0.8364,0.7876
MLPNet4,0,2019-05-08 01:08,100,0.025,cross_entropy,adam,11,0.4481,0.7758,20349,4388,0.8226,0.7061,0.7599,8469,24430,0.7426,0.8477,0.7917
MLPNet4,0,2019-05-08 01:23,100,0.025,cross_entropy,adam,12,0.4478,0.7762,20270,4280,0.8257,0.7034,0.7596,8548,24538,0.7416,0.8515,0.7928
MLPNet4,0,2019-05-08 01:38,100,0.025,cross_entropy,adam,13,0.4469,0.7759,20371,4406,0.8222,0.7069,0.7602,8447,24412,0.7429,0.8471,0.7916
MLPNet4,0,2019-05-08 01:53,100,0.025,cross_entropy,adam,14,0.4464,0.7774,20590,4548,0.8191,0.7145,0.7632,8228,24270,0.7468,0.8422,0.7916
MLPNet4,0,2019-05-08 02:08,100,0.025,cross_entropy,adam,15,0.4466,0.7789,20605,4476,0.8215,0.715,0.7646,8213,24342,0.7477,0.8447,0.7932
MLPNet4,0,2019-05-08 02:18,100,0.025,cross_entropy,adam,16,0.4456,0.779,20717,4588,0.8187,0.7189,0.7656,8101,24230,0.7494,0.8408,0.7925
MLPNet4,0,2019-05-08 02:26,100,0.025,cross_entropy,adam,17,0.4439,0.7803,20670,4460,0.8225,0.7173,0.7663,8148,24358,0.7493,0.8452,0.7944
MLPNet4,0,2019-05-08 02:35,100,0.025,cross_entropy,adam,18,0.4448,0.7821,20923,4625,0.819,0.726,0.7697,7895,24193,0.754,0.8395,0.7944
MLPNet4,0,2019-05-08 02:43,100,0.025,cross_entropy,adam,19,0.4425,0.7821,20816,4513,0.8218,0.7223,0.7689,8002,24305,0.7523,0.8434,0.7953
MLPNet4,0,2019-05-08 02:51,100,0.0125,cross_entropy,adam,20,0.4384,0.7852,21097,4625,0.8202,0.7321,0.7736,7721,24193,0.7581,0.8395,0.7967
MLPNet4,0,2019-05-08 02:59,100,0.0125,cross_entropy,adam,21,0.4374,0.786,21105,4582,0.8216,0.7324,0.7744,7713,24236,0.7586,0.841,0.7977
MLPNet4,0,2019-05-08 03:07,100,0.0125,cross_entropy,adam,22,0.4366,0.7869,21097,4525,0.8234,0.7321,0.7751,7721,24293,0.7588,0.843,0.7987
MLPNet4,0,2019-05-08 03:15,100,0.0125,cross_entropy,adam,23,0.4365,0.7867,21131,4573,0.8221,0.7333,0.7751,7687,24245,0.7593,0.8413,0.7982
MLPNet4,0,2019-05-08 03:24,100,0.0125,cross_entropy,adam,24,0.4363,0.7874,21155,4554,0.8229,0.7341,0.7759,7663,24264,0.76,0.842,0.7989
MLPNet4,0,2019-05-08 03:32,100,0.0125,cross_entropy,adam,25,0.4361,0.7868,21112,4543,0.8229,0.7326,0.7751,7706,24275,0.759,0.8424,0.7985
MLPNet4,0,2019-05-08 03:40,100,0.0125,cross_entropy,adam,26,0.4362,0.7873,21149,4553,0.8229,0.7339,0.7758,7669,24265,0.7598,0.842,0.7988
MLPNet4,0,2019-05-08 03:48,100,0.0125,cross_entropy,adam,27,0.4352,0.7875,21109,4501,0.8242,0.7325,0.7757,7709,24317,0.7593,0.8438,0.7993
MLPNet4,0,2019-05-08 03:56,100,0.0125,cross_entropy,adam,28,0.4362,0.7863,21053,4511,0.8235,0.7306,0.7743,7765,24307,0.7579,0.8435,0.7984
MLPNet4,0,2019-05-08 04:04,100,0.0125,cross_entropy,adam,29,0.4356,0.7876,21162,4552,0.823,0.7343,0.7761,7656,24266,0.7602,0.842,0.799
MLPNet4,0,2019-05-08 04:12,100,0.00625,cross_entropy,adam,30,0.4327,0.7891,21176,4479,0.8254,0.7348,0.7775,7642,24339,0.761,0.8446,0.8006
MLPNet4,0,2019-05-08 04:20,100,0.00625,cross_entropy,adam,31,0.432,0.79,21208,4460,0.8262,0.7359,0.7785,7610,24358,0.7619,0.8452,0.8014
MLPNet4,0,2019-05-08 04:28,100,0.00625,cross_entropy,adam,32,0.4322,0.789,21210,4517,0.8244,0.736,0.7777,7608,24301,0.7616,0.8433,0.8003
MLPNet4,0,2019-05-08 04:36,100,0.00625,cross_entropy,adam,33,0.4313,0.7899,21342,4601,0.8226,0.7406,0.7795,7476,24217,0.7641,0.8403,0.8004
MLPNet4,0,2019-05-08 04:44,100,0.00625,cross_entropy,adam,34,0.4321,0.7892,21163,4460,0.8259,0.7344,0.7775,7655,24358,0.7609,0.8452,0.8008
