model,random_state,date,n_epoch,lr,crit,optim,epoch,loss,f1_macro,pred_0_0,pred_0_1,precision_0,recall_0,f1_0,pred_1_0,pred_1_1,precision_1,recall_1,f1_1
MLPNet4Drop_0.2_,0,2019-05-09 13:03,4,0.0025,cross_entropy,adam,1,0.472,0.7678,19967,4455,0.8176,0.6929,0.7501,8851,24363,0.7335,0.8454,0.7855
MLPNet4Drop_0.2_,0,2019-05-09 13:11,4,0.00125,cross_entropy,adam,2,0.4692,0.7693,19931,4327,0.8216,0.6916,0.751,8887,24491,0.7337,0.8499,0.7875
MLPNet4Drop_0.2_,0,2019-05-09 13:19,4,0.00125,cross_entropy,adam,3,0.4694,0.7701,20039,4395,0.8201,0.6954,0.7526,8779,24423,0.7356,0.8475,0.7876
MLPNet4Drop_0.2_,0,2019-05-09 13:28,4,0.000625,cross_entropy,adam,4,0.4704,0.7702,20059,4409,0.8198,0.6961,0.7529,8759,24409,0.7359,0.847,0.7876
