model,random_state,date,n_epoch,lr,crit,optim,epoch,loss,f1_macro,pred_0_0,pred_0_1,precision_0,recall_0,f1_0,pred_1_0,pred_1_1,precision_1,recall_1,f1_1
MLPNet5,0,2019-05-09 12:28,4,0.01,cross_entropy,adam,1,0.4458,0.7773,20186,4126,0.8303,0.7005,0.7599,8632,24692,0.741,0.8568,0.7947
MLPNet5,0,2019-05-09 12:37,4,0.005,cross_entropy,adam,2,0.4406,0.7806,21310,5114,0.8065,0.7395,0.7715,7508,23704,0.7595,0.8225,0.7897
MLPNet5,0,2019-05-09 12:45,4,0.005,cross_entropy,adam,3,0.4393,0.781,21178,4956,0.8104,0.7349,0.7708,7640,23862,0.7575,0.828,0.7912
MLPNet5,0,2019-05-09 12:53,4,0.0025,cross_entropy,adam,4,0.4378,0.783,21673,5348,0.8021,0.7521,0.7763,7145,23470,0.7666,0.8144,0.7898
