model,random_state,date,n_epoch,lr,crit,optim,epoch,loss,f1_macro,pred_0_0,pred_0_1,precision_0,recall_0,f1_0,pred_1_0,pred_1_1,precision_1,recall_1,f1_1
MLPNet3Drop_0.4_,0,2019-05-09 12:23,4,0.01,cross_entropy,adam,1,0.511,0.726,18343,5184,0.7797,0.6365,0.7009,10475,23634,0.6929,0.8201,0.7512
MLPNet3Drop_0.4_,0,2019-05-09 12:32,4,0.005,cross_entropy,adam,2,0.5091,0.727,18322,5098,0.7823,0.6358,0.7015,10496,23720,0.6932,0.8231,0.7526
MLPNet3Drop_0.4_,0,2019-05-09 12:40,4,0.005,cross_entropy,adam,3,0.5086,0.7289,18376,5045,0.7846,0.6377,0.7035,10442,23773,0.6948,0.8249,0.7543
MLPNet3Drop_0.4_,0,2019-05-09 12:48,4,0.0025,cross_entropy,adam,4,0.5086,0.7291,18447,5114,0.7829,0.6401,0.7044,10371,23704,0.6956,0.8225,0.7538
