model,random_state,date,n_epoch,lr,crit,optim,epoch,loss,f1_macro,pred_0_0,pred_0_1,precision_0,recall_0,f1_0,pred_1_0,pred_1_1,precision_1,recall_1,f1_1
MLPNet4Drop_0.4_,0,2019-05-09 13:42,4,0.000625,cross_entropy,adam,1,0.5203,0.7365,19849,6182,0.7625,0.6887,0.7238,8970,22637,0.7162,0.7855,0.7492
MLPNet4Drop_0.4_,0,2019-05-09 13:50,4,0.0003125,cross_entropy,adam,2,0.5186,0.738,19860,6105,0.7649,0.6891,0.725,8959,22714,0.7171,0.7882,0.751
MLPNet4Drop_0.4_,0,2019-05-09 13:58,4,0.0003125,cross_entropy,adam,3,0.5165,0.7356,19999,6393,0.7578,0.694,0.7245,8820,22426,0.7177,0.7782,0.7467
MLPNet4Drop_0.4_,0,2019-05-09 14:07,4,0.00015625,cross_entropy,adam,4,0.5175,0.7375,20000,6282,0.761,0.694,0.7259,8819,22537,0.7187,0.782,0.749
