model,random_state,date,n_epoch,lr,crit,optim,epoch,loss,f1_macro,pred_0_0,pred_0_1,precision_0,recall_0,f1_0,pred_1_0,pred_1_1,precision_1,recall_1,f1_1
MLPNet5Drop_0.4_,0,2019-05-09 13:44,4,0.000625,cross_entropy,adam,1,0.6647,0.4481,3383,350,0.9062,0.1174,0.2079,25436,28469,0.5281,0.9879,0.6883
MLPNet5Drop_0.4_,0,2019-05-09 13:53,4,0.0003125,cross_entropy,adam,2,0.6628,0.4507,3449,301,0.9197,0.1197,0.2118,25370,28518,0.5292,0.9896,0.6896
MLPNet5Drop_0.4_,0,2019-05-09 14:01,4,0.0003125,cross_entropy,adam,3,0.6641,0.4493,3417,338,0.91,0.1186,0.2098,25402,28481,0.5286,0.9883,0.6888
MLPNet5Drop_0.4_,0,2019-05-09 14:09,4,0.00015625,cross_entropy,adam,4,0.6643,0.4484,3384,321,0.9134,0.1174,0.2081,25435,28498,0.5284,0.9889,0.6888
