model,random_state,date,n_epoch,lr,crit,optim,epoch,loss,f1_macro,pred_0_0,pred_0_1,precision_0,recall_0,f1_0,pred_1_0,pred_1_1,precision_1,recall_1,f1_1
MLPNet3Drop_0.2_,0,2019-05-07 22:37,100,0.05,cross_entropy,adam,1,0.5389,0.7097,18460,6291,0.7458,0.6406,0.6892,10358,22527,0.685,0.7817,0.7302
MLPNet3Drop_0.2_,0,2019-05-07 22:48,100,0.05,cross_entropy,adam,2,0.5067,0.7369,18433,4625,0.7994,0.6396,0.7107,10385,24193,0.6997,0.8395,0.7632
MLPNet3Drop_0.2_,0,2019-05-07 23:01,100,0.05,cross_entropy,adam,3,0.5044,0.7396,18816,4888,0.7938,0.6529,0.7165,10002,23930,0.7052,0.8304,0.7627
MLPNet3Drop_0.2_,0,2019-05-07 23:16,100,0.05,cross_entropy,adam,4,0.4944,0.7447,18640,4388,0.8094,0.6468,0.7191,10178,24430,0.7059,0.8477,0.7703
MLPNet3Drop_0.2_,0,2019-05-07 23:31,100,0.05,cross_entropy,adam,5,0.4923,0.7505,19068,4512,0.8087,0.6617,0.7278,9750,24306,0.7137,0.8434,0.7732
MLPNet3Drop_0.2_,0,2019-05-07 23:46,100,0.05,cross_entropy,adam,6,0.4968,0.7465,18761,4414,0.8095,0.651,0.7217,10057,24404,0.7082,0.8468,0.7713
MLPNet3Drop_0.2_,0,2019-05-08 00:01,100,0.05,cross_entropy,adam,7,0.4977,0.7454,18598,4302,0.8121,0.6454,0.7192,10220,24516,0.7058,0.8507,0.7715
MLPNet3Drop_0.2_,0,2019-05-08 00:16,100,0.05,cross_entropy,adam,8,0.4964,0.748,18991,4574,0.8059,0.659,0.7251,9827,24244,0.7116,0.8413,0.771
MLPNet3Drop_0.2_,0,2019-05-08 00:31,100,0.05,cross_entropy,adam,9,0.4953,0.7478,18796,4373,0.8113,0.6522,0.7231,10022,24445,0.7092,0.8483,0.7725
MLPNet3Drop_0.2_,0,2019-05-08 00:46,100,0.025,cross_entropy,adam,10,0.4834,0.7574,19230,4274,0.8182,0.6673,0.7351,9588,24544,0.7191,0.8517,0.7798
