model,random_state,date,n_epoch,lr,crit,optim,epoch,loss,f1_macro,pred_0_0,pred_0_1,precision_0,recall_0,f1_0,pred_1_0,pred_1_1,precision_1,recall_1,f1_1
MLPNet3,0,2019-05-09 12:50,4,0.0025,cross_entropy,adam,1,0.4475,0.7731,20708,4927,0.8078,0.7186,0.7606,8110,23891,0.7466,0.829,0.7856
MLPNet3,0,2019-05-09 12:59,4,0.00125,cross_entropy,adam,2,0.4454,0.7738,20434,4596,0.8164,0.7091,0.759,8384,24222,0.7429,0.8405,0.7887
MLPNet3,0,2019-05-09 13:07,4,0.00125,cross_entropy,adam,3,0.444,0.7748,20612,4728,0.8134,0.7152,0.7612,8206,24090,0.7459,0.8359,0.7884
MLPNet3,0,2019-05-09 13:15,4,0.000625,cross_entropy,adam,4,0.4433,0.7751,20591,4689,0.8145,0.7145,0.7612,8227,24129,0.7457,0.8373,0.7889
