model,random_state,date,n_epoch,lr,crit,optim,epoch,loss,f1_macro,pred_0_0,pred_0_1,precision_0,recall_0,f1_0,pred_1_0,pred_1_1,precision_1,recall_1,f1_1
MLPNet4,0,2019-05-09 12:25,4,0.01,cross_entropy,adam,1,0.4483,0.7767,20426,4417,0.8222,0.7088,0.7613,8392,24401,0.7441,0.8467,0.7921
MLPNet4,0,2019-05-09 12:33,4,0.005,cross_entropy,adam,2,0.4435,0.7785,20256,4127,0.8307,0.7029,0.7615,8562,24691,0.7425,0.8568,0.7956
MLPNet4,0,2019-05-09 12:41,4,0.005,cross_entropy,adam,3,0.4412,0.7797,20396,4205,0.8291,0.7078,0.7636,8422,24613,0.7451,0.8541,0.7959
MLPNet4,0,2019-05-09 12:49,4,0.0025,cross_entropy,adam,4,0.44,0.7807,20413,4168,0.8304,0.7083,0.7645,8405,24650,0.7457,0.8554,0.7968
