model,random_state,date,n_epoch,lr,crit,optim,epoch,loss,f1_macro,pred_0_0,pred_0_1,precision_0,recall_0,f1_0,pred_1_0,pred_1_1,precision_1,recall_1,f1_1
MLPNet3Drop_0.4,0,2019-05-13 18:39,6,0.0125,cross_entropy,adam,1,0.5856,0.6835,17263,8266,0.6762,0.7048,0.6902,7232,16229,0.6917,0.6625,0.6768
MLPNet3Drop_0.4,0,2019-05-13 18:42,6,0.0125,cross_entropy,adam,2,0.5252,0.7293,16032,4720,0.7726,0.6545,0.7086,8463,19775,0.7003,0.8073,0.75
MLPNet3Drop_0.4,0,2019-05-13 18:46,6,0.00625,cross_entropy,adam,3,0.5077,0.7414,16282,4380,0.788,0.6647,0.7211,8213,20115,0.7101,0.8212,0.7616
MLPNet3Drop_0.4,0,2019-05-13 18:49,6,0.00625,cross_entropy,adam,4,0.5015,0.7469,16762,4614,0.7842,0.6843,0.7308,7733,19881,0.72,0.8116,0.7631
MLPNet3Drop_0.4,0,2019-05-13 18:52,6,0.003125,cross_entropy,adam,5,0.4952,0.7512,16876,4522,0.7887,0.689,0.7354,7619,19973,0.7239,0.8154,0.7669
MLPNet3Drop_0.4,0,2019-05-13 18:56,6,0.003125,cross_entropy,adam,6,0.4903,0.7527,16988,4563,0.7883,0.6935,0.7379,7507,19932,0.7264,0.8137,0.7676
