model,random_state,date,n_epoch,lr,crit,optim,epoch,loss,f1_macro,pred_0_0,pred_0_1,precision_0,recall_0,f1_0,pred_1_0,pred_1_1,precision_1,recall_1,f1_1
MLPNet4,0,2019-05-13 19:56,6,0.0001953125,cross_entropy,adam,1,0.6822,0.5674,14669,11347,0.5638,0.5988,0.5808,9827,13149,0.5723,0.5368,0.554
MLPNet4,0,2019-05-13 20:03,6,0.0001953125,cross_entropy,adam,2,0.6676,0.5945,14987,10349,0.5915,0.6118,0.6015,9509,14147,0.598,0.5775,0.5876
MLPNet4,0,2019-05-13 20:10,6,9.765625e-05,cross_entropy,adam,3,0.655,0.6133,15330,9778,0.6106,0.6258,0.6181,9166,14718,0.6162,0.6008,0.6084
MLPNet4,0,2019-05-13 20:17,6,9.765625e-05,cross_entropy,adam,4,0.6453,0.6273,15966,9720,0.6216,0.6518,0.6363,8530,14776,0.634,0.6032,0.6182
MLPNet4,0,2019-05-13 20:23,6,4.8828125e-05,cross_entropy,adam,5,0.6373,0.6358,16309,9638,0.6286,0.6658,0.6466,8187,14858,0.6447,0.6065,0.6251
MLPNet4,0,2019-05-13 20:29,6,4.8828125e-05,cross_entropy,adam,6,0.6318,0.6425,16344,9351,0.6361,0.6672,0.6513,8152,15145,0.6501,0.6183,0.6338
