model,random_state,date,n_epoch,lr,crit,optim,epoch,loss,f1_macro,pred_0_0,pred_0_1,precision_0,recall_0,f1_0,pred_1_0,pred_1_1,precision_1,recall_1,f1_1
MLPNet3,0,2019-05-13 19:39,6,0.0001953125,cross_entropy,adam,1,0.6878,0.5499,15726,13110,0.5454,0.642,0.5897,8770,11386,0.5649,0.4648,0.51
MLPNet3,0,2019-05-13 19:43,6,0.0001953125,cross_entropy,adam,2,0.671,0.5862,14125,9901,0.5879,0.5766,0.5822,10371,14595,0.5846,0.5958,0.5902
MLPNet3,0,2019-05-13 19:48,6,9.765625e-05,cross_entropy,adam,3,0.6586,0.61,14757,9368,0.6117,0.6024,0.607,9739,15128,0.6084,0.6176,0.6129
MLPNet3,0,2019-05-13 19:52,6,9.765625e-05,cross_entropy,adam,4,0.648,0.6265,15227,9031,0.6277,0.6216,0.6246,9269,15465,0.6253,0.6313,0.6283
MLPNet3,0,2019-05-13 19:57,6,4.8828125e-05,cross_entropy,adam,5,0.6397,0.6362,15513,8839,0.637,0.6333,0.6352,8983,15657,0.6354,0.6392,0.6373
MLPNet3,0,2019-05-13 20:05,6,4.8828125e-05,cross_entropy,adam,6,0.6341,0.6431,15737,8725,0.6433,0.6424,0.6429,8759,15771,0.6429,0.6438,0.6434
