model,random_state,date,n_epoch,lr,crit,optim,epoch,loss,f1_macro,pred_0_0,pred_0_1,precision_0,recall_0,f1_0,pred_1_0,pred_1_1,precision_1,recall_1,f1_1
MLPNet4,0,2019-05-13 19:31,6,0.00078125,cross_entropy,adam,1,0.6301,0.6348,14765,8142,0.6446,0.6028,0.623,9730,16353,0.627,0.6676,0.6466
MLPNet4,0,2019-05-13 19:35,6,0.00078125,cross_entropy,adam,2,0.5395,0.7221,17509,6628,0.7254,0.7148,0.7201,6986,17867,0.7189,0.7294,0.7241
MLPNet4,0,2019-05-13 19:40,6,0.000390625,cross_entropy,adam,3,0.5077,0.7409,17409,5598,0.7567,0.7107,0.733,7086,18897,0.7273,0.7715,0.7487
