model,random_state,date,n_epoch,lr,crit,optim,epoch,loss,f1_macro,pred_0_0,pred_0_1,precision_0,recall_0,f1_0,pred_1_0,pred_1_1,precision_1,recall_1,f1_1
MLPNet4Drop_0.4,0,2019-05-13 18:42,6,0.0125,cross_entropy,adam,1,0.6028,0.6681,16908,8663,0.6612,0.6903,0.6754,7587,15832,0.676,0.6463,0.6609
MLPNet4Drop_0.4,0,2019-05-13 18:46,6,0.0125,cross_entropy,adam,2,0.5445,0.7221,16272,5344,0.7528,0.6643,0.7058,8223,19151,0.6996,0.7818,0.7384
MLPNet4Drop_0.4,0,2019-05-13 18:52,6,0.00625,cross_entropy,adam,3,0.5245,0.7369,16445,4780,0.7748,0.6714,0.7194,8050,19715,0.7101,0.8049,0.7545
MLPNet4Drop_0.4,0,2019-05-13 18:56,6,0.00625,cross_entropy,adam,4,0.5141,0.7436,16219,4198,0.7944,0.6621,0.7223,8276,20297,0.7104,0.8286,0.7649
MLPNet4Drop_0.4,0,2019-05-13 19:00,6,0.003125,cross_entropy,adam,5,0.5102,0.7465,16056,3872,0.8057,0.6555,0.7229,8439,20623,0.7096,0.8419,0.7701
MLPNet4Drop_0.4,0,2019-05-13 19:03,6,0.003125,cross_entropy,adam,6,0.5064,0.7489,16124,3824,0.8083,0.6583,0.7256,8371,20671,0.7118,0.8439,0.7722
