model,random_state,date,n_epoch,lr,crit,optim,epoch,loss,f1_macro,pred_0_0,pred_0_1,precision_0,recall_0,f1_0,pred_1_0,pred_1_1,precision_1,recall_1,f1_1
MLPNet3Drop_0.4,0,2019-05-13 19:26,6,0.00078125,cross_entropy,adam,1,0.7182,0.5344,13322,11633,0.5338,0.5439,0.5388,11173,12862,0.5351,0.5251,0.5301
MLPNet3Drop_0.4,0,2019-05-13 19:30,6,0.00078125,cross_entropy,adam,2,0.6774,0.5746,12646,8917,0.5865,0.5163,0.5491,11849,15578,0.568,0.636,0.6001
MLPNet3Drop_0.4,0,2019-05-13 19:34,6,0.000390625,cross_entropy,adam,3,0.6631,0.6055,13290,8041,0.623,0.5426,0.58,11205,16454,0.5949,0.6717,0.631
MLPNet3Drop_0.4,0,2019-05-13 19:37,6,0.000390625,cross_entropy,adam,4,0.6478,0.6256,13592,7341,0.6493,0.5549,0.5984,10903,17154,0.6114,0.7003,0.6528
