model,random_state,date,n_epoch,lr,crit,optim,epoch,loss,f1_macro,pred_0_0,pred_0_1,precision_0,recall_0,f1_0,pred_1_0,pred_1_1,precision_1,recall_1,f1_1
MLPNet3Drop_0.4,0,2019-05-13 19:01,6,0.003125,cross_entropy,adam,1,0.6532,0.6062,15418,10203,0.6018,0.6294,0.6153,9077,14292,0.6116,0.5835,0.5972
MLPNet3Drop_0.4,0,2019-05-13 19:05,6,0.003125,cross_entropy,adam,2,0.5743,0.7006,18358,8497,0.6836,0.7495,0.715,6137,15998,0.7227,0.6531,0.6862
MLPNet3Drop_0.4,0,2019-05-13 19:08,6,0.0015625,cross_entropy,adam,3,0.537,0.7279,17345,6177,0.7374,0.7081,0.7225,7150,18318,0.7193,0.7478,0.7333
MLPNet3Drop_0.4,0,2019-05-13 19:12,6,0.0015625,cross_entropy,adam,4,0.5225,0.7335,16579,5099,0.7648,0.6768,0.7181,7916,19396,0.7102,0.7918,0.7488
MLPNet3Drop_0.4,0,2019-05-13 19:16,6,0.00078125,cross_entropy,adam,5,0.5116,0.7391,16221,4428,0.7856,0.6622,0.7186,8274,20067,0.7081,0.8192,0.7596
MLPNet3Drop_0.4,0,2019-05-13 19:20,6,0.00078125,cross_entropy,adam,6,0.5049,0.7448,16140,4050,0.7994,0.6589,0.7224,8355,20445,0.7099,0.8347,0.7672
