model,random_state,date,n_epoch,lr,crit,optim,epoch,loss,f1_macro,pred_0_0,pred_0_1,precision_0,recall_0,f1_0,pred_1_0,pred_1_1,precision_1,recall_1,f1_1
MLPNet4,0,2019-05-13 18:37,6,0.0125,cross_entropy,adam,1,0.5158,0.7324,16721,5300,0.7593,0.6826,0.7189,7774,19195,0.7117,0.7836,0.746
MLPNet4,0,2019-05-13 18:42,6,0.0125,cross_entropy,adam,2,0.471,0.7649,17141,4112,0.8065,0.6998,0.7494,7354,20383,0.7349,0.8321,0.7805
MLPNet4,0,2019-05-13 18:46,6,0.00625,cross_entropy,adam,3,0.458,0.7744,17318,3825,0.8191,0.707,0.7589,7177,20670,0.7423,0.8438,0.7898
MLPNet4,0,2019-05-13 18:49,6,0.00625,cross_entropy,adam,4,0.4524,0.7775,17575,3938,0.8169,0.7175,0.764,6920,20557,0.7482,0.8392,0.7911
MLPNet4,0,2019-05-13 18:54,6,0.003125,cross_entropy,adam,5,0.4457,0.7822,17621,3753,0.8244,0.7194,0.7683,6874,20742,0.7511,0.8468,0.7961
MLPNet4,0,2019-05-13 18:58,6,0.003125,cross_entropy,adam,6,0.4436,0.7852,17663,3649,0.8288,0.7211,0.7712,6832,20846,0.7532,0.851,0.7991
