model,random_state,date,n_epoch,lr,crit,optim,epoch,loss,f1_macro,pred_0_0,pred_0_1,precision_0,recall_0,f1_0,pred_1_0,pred_1_1,precision_1,recall_1,f1_1
MLPNet4,0,2019-05-13 18:13,6,0.05,cross_entropy,adam,1,0.5177,0.7274,16196,4993,0.7644,0.6612,0.709,8299,19502,0.7015,0.7962,0.7458
MLPNet4,0,2019-05-13 18:16,6,0.05,cross_entropy,adam,2,0.4855,0.755,16860,4310,0.7964,0.6883,0.7384,7635,20185,0.7256,0.824,0.7717
MLPNet4,0,2019-05-13 18:20,6,0.025,cross_entropy,adam,3,0.4679,0.7656,17039,3970,0.811,0.6956,0.7489,7456,20525,0.7335,0.8379,0.7823
MLPNet4,0,2019-05-13 18:24,6,0.025,cross_entropy,adam,4,0.4624,0.7704,17499,4214,0.8059,0.7144,0.7574,6996,20281,0.7435,0.828,0.7835
MLPNet4,0,2019-05-13 18:27,6,0.0125,cross_entropy,adam,5,0.4546,0.7775,17646,4015,0.8146,0.7204,0.7646,6849,20480,0.7494,0.8361,0.7904
MLPNet4,0,2019-05-13 18:30,6,0.0125,cross_entropy,adam,6,0.4522,0.7774,17808,4189,0.8096,0.727,0.7661,6687,20306,0.7523,0.829,0.7888
