model,random_state,date,n_epoch,lr,crit,optim,epoch,loss,f1_macro,pred_0_0,pred_0_1,precision_0,recall_0,f1_0,pred_1_0,pred_1_1,precision_1,recall_1,f1_1
MLPNet3Drop_0.4,0,2019-05-13 18:13,6,0.05,cross_entropy,adam,1,0.6025,0.6484,15045,7752,0.66,0.6142,0.6363,9450,16743,0.6392,0.6835,0.6606
MLPNet3Drop_0.4,0,2019-05-13 18:17,6,0.05,cross_entropy,adam,2,0.5527,0.6862,14196,4887,0.7439,0.5795,0.6515,10299,19608,0.6556,0.8005,0.7209
MLPNet3Drop_0.4,0,2019-05-13 18:20,6,0.025,cross_entropy,adam,3,0.5307,0.7096,14731,4285,0.7747,0.6014,0.6771,9764,20210,0.6743,0.8251,0.7421
MLPNet3Drop_0.4,0,2019-05-13 18:23,6,0.025,cross_entropy,adam,4,0.5276,0.7114,14868,4349,0.7737,0.607,0.6803,9627,20146,0.6767,0.8225,0.7425
MLPNet3Drop_0.4,0,2019-05-13 18:28,6,0.0125,cross_entropy,adam,5,0.518,0.723,15660,4637,0.7715,0.6393,0.6992,8835,19858,0.6921,0.8107,0.7467
MLPNet3Drop_0.4,0,2019-05-13 18:32,6,0.0125,cross_entropy,adam,6,0.5117,0.7328,16411,4955,0.7681,0.67,0.7157,8084,19540,0.7074,0.7977,0.7498
