model,random_state,date,n_epoch,lr,crit,optim,epoch,loss,f1_macro,pred_0_0,pred_0_1,precision_0,recall_0,f1_0,pred_1_0,pred_1_1,precision_1,recall_1,f1_1
MLPNet3Drop_0.2,0,2019-05-13 19:20,6,0.00078125,cross_entropy,adam,1,0.6755,0.5821,14689,10661,0.5794,0.5997,0.5894,9806,13834,0.5852,0.5648,0.5748
MLPNet3Drop_0.2,0,2019-05-13 19:25,6,0.00078125,cross_entropy,adam,2,0.6152,0.658,17728,9917,0.6413,0.7237,0.68,6767,14578,0.683,0.5951,0.636
MLPNet3Drop_0.2,0,2019-05-13 19:28,6,0.000390625,cross_entropy,adam,3,0.5876,0.6871,17851,8659,0.6734,0.7288,0.7,6644,15836,0.7044,0.6465,0.6742
MLPNet3Drop_0.2,0,2019-05-13 19:32,6,0.000390625,cross_entropy,adam,4,0.5726,0.6976,17847,8153,0.6864,0.7286,0.7069,6648,16342,0.7108,0.6672,0.6883
MLPNet3Drop_0.2,0,2019-05-13 19:35,6,0.0001953125,cross_entropy,adam,5,0.5643,0.7043,17790,7774,0.6959,0.7263,0.7108,6705,16721,0.7138,0.6826,0.6979
MLPNet3Drop_0.2,0,2019-05-13 19:37,6,0.0001953125,cross_entropy,adam,6,0.5568,0.7116,17704,7337,0.707,0.7228,0.7148,6791,17158,0.7164,0.7005,0.7084
